Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"-Kucharz"; "Karszówka, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-05-26"; 
"-Pracownik biurowy"; "Cecylówka-Brzózka, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-22"; 
"(barber) fryzjer męski"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Daniel Durał Husar Group Polska Agencja Interaktywna"; "2025-05-07"; 
"1. pedagog szkolny 2. nauczyciel muzyki"; "Grajewo, podlaskie"; "Umowa o pracę na okres próbny"; "ZESPÓŁ SZKÓŁ SPECJALNYCH IM. JANA PAWŁA II W GRAJEWIE"; "2025-06-10"; 
"124 - Asystent kas samoobsługowych"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "IPRACUJZDALNIE.PL SPÓLKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-09"; 
"128-Brukarz"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-25"; 
"128-Kosztorysant budowlany"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-23"; 
"128-Pomocniczy robotnik budowlany"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-25"; 
"129 - Kierowca C+E"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"129 - Kierowca samochodu dostawczego do 3,5 t"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "EURODOOR S.C."; "2025-07-07"; 
"129 - Magazynier"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-03"; 
"129 - Magazynier Sprzedawca"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-11"; 
"129 - Operator wózka widłowego"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "Randstad Polska SP. Z O.O."; "2025-07-17"; 
"129 - Operator wózka widłowego"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-18"; 
"129 - OPERATOR WÓZKÓW WIDŁOWYCH"; "Stefanowo, mazowieckie"; "Nie dotyczy"; "We Go Job Sp. z o. o."; "2025-07-11"; 
"129 - Pracownik transportu wewnętrznego"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-08"; 
"129 - Spedytor międzynarodowy"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-25"; 
"129- mechanik samochodowy/elektromechanik"; "Wielogóra, mazowieckie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBORSTWO KOMUNIKACJI SAMOCHODOWEJ ""RATRANS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-24"; 
"130 - (Jedlińsk) Elektryk w dziale utrzymania ruchu"; "Jedlińsk, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"130 - (Jedlińsk) Specjalista ds. eksploatacji instalacji i urządzeń technicznych"; "Jedlińsk, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"130 - Automatyk w dziale utrzymania ruchu"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"130 - Elektryk"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; """PANEX-BUD"" Sławomir Panek Usługi Remontowo-Wykończeniowe"; "2025-07-16"; 
"130 - Elektryk utrzymania ruchu"; "Owadów, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Zakład Mechaniczno - Odlewniczy Józef Brzeziński"; "2025-06-27"; 
"130 - Elektryk w dziale utrzymania ruchu"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"130 - Mechanik w dziale utrzymania ruchu"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"130 - Nauczyciel praktycznej nauki zawodu"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ SAMOCHODOWYCH"; "2025-05-21"; 
"130 - Operator automatów tokarskich"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "GALVO24 KARIM SPÓŁKA KOMANDYTOWA"; "2025-06-27"; 
"130 - Operator maszyn - pras"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Rohrbogen spółka z ograniczoną odpowiedzialnością"; "2025-07-14"; 
"130 - Operator maszyn do produkcji szkła płaskiego"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; """NEW TRENDY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-15"; 
"130 - Operator obrabiarek sterowanych numerycznie"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "GALVO24 KARIM SPÓŁKA KOMANDYTOWA"; "2025-06-27"; 
"130 - Robotnik"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-17"; 
"130 - Serwisant systemów alarmowych"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "BLUE HUNTERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-07-01"; 
"130 - Spawacz"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; """UNI-PRO"" Grzegorz Bokotko"; "2025-07-02"; 
"130 - Specjalista ds gospodarki narzędziowej"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "GALVO24 KARIM SPÓŁKA KOMANDYTOWA"; "2025-06-27"; 
"130 - Specjalista ds. eksploatacji instalacji i urządzeń technicznych"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"130 - Szlifierz-ostrzarz"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "GALVO24 KARIM SPÓŁKA KOMANDYTOWA"; "2025-06-27"; 
"130 - Ślusarz"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; """UNI-PRO"" Grzegorz Bokotko"; "2025-07-02"; 
"130 - Ślusarz (ustawiacz maszyn)"; "Strzałków, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""GWINTO-CYNK"" PAWEŁ MAREK"; "2025-07-25"; 
"130 - Technik (Dział Remontu Osprzętu)"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "3 Regionalna Baza Logistyczna"; "2025-07-18"; 
"130 - Technik (Dział Remontu Płatowców i Silników, Sekcja Remontowa)"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "3 Regionalna Baza Logistyczna"; "2025-07-18"; 
"130 - Technik Instalator"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KERIM CMA BEATA HENDEL, MARCIN HENDEL SPÓŁKA JAWNA"; "2025-07-24"; 
"130-Kontroler jakości wyrobów przemysłowych"; "Radom, mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-07-25"; 
"131 - Krawcowa"; "Radom, mazowieckie"; "Umowa o pracę na czas określony"; "DeVu DIANA WALKIEWICZ-WÓJCIK"; "2025-06-09"; 
"131 - Krawiec"; "Radom, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "MARIUSZ NAWROT SPRZEDAŻ HURTOWA I DETALICZNA"; "2025-05-30"; 
"131 - Kwalifikowany dowódca zmiany ochrony"; "Radom, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "SERIS KONSALNET SECURITY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-16"; 
"131 - Młodszy Specjalista ds. hodowli drobiu"; "Radom, mazowieckie"; "Nie dotyczy"; "ROJO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-24"; 
"131 - Operator mieszania"; "Stefanowo, mazowieckie"; "Umowa o pracę na czas określony"; """TRENKWALDER & PARTNER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-10"; 
"131 - Operator produkcji"; "Radom, mazowieckie"; "Umowa o pracę na okres próbny"; "KPS FOOD SP. Z O. O."; "2025-07-18"; 
"131 - Pomocnik Operatora - Pracownik produkcji"; "Jedlińsk, mazowieckie"; "Umowa o pracę na okres próbny"; "UNITED PETFOOD RADOM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-17"; 
