Nazwa usługi;Kategoria;Opis;Lokalizacja;Kontakt;Premium
Tworzenie profesjonalnych stron internetowych;Informatyczne;Projektowanie, wdrożenie i optymalizacja nowoczesnych stron www dla firm i osób prywatnych. SEO, responsywność, wsparcie techniczne.;Warszawa;kontakt@stronypro.pl;TAK
Korepetycje z matematyki;Edukacja;Indywidualne lekcje matematyki dla uczniów szkół podstawowych i średnich.;Kraków;matma@korepetycje.pl;
Korepetycje z języka angielskiego;Edukacja;Nauka angielskiego od podstaw do poziomu zaawansowanego, przygotowanie do egzaminów.;Poznań;angielski@korepetycje.pl;
Korepetycje z chemii;Edukacja;Pomoc w zrozumieniu chemii, przygotowanie do matury.;Wrocław;chemia@korepetycje.pl;
Korepetycje z fizyki;Edukacja;Zajęcia z fizyki dla uczniów i studentów.;Gdańsk;fizyka@korepetycje.pl;
Korepetycje z biologii;Edukacja;Lekcje biologii, przygotowanie do olimpiad.;Szczecin;biologia@korepetycje.pl;
Korepetycje z języka niemieckiego;Edukacja;Nauka niemieckiego, konwersacje, gramatyka.;Łódź;niemiecki@korepetycje.pl;
Korepetycje z historii;Edukacja;Pomoc w nauce historii, przygotowanie do egzaminów.;Lublin;historia@korepetycje.pl;
Korepetycje z geografii;Edukacja;Zajęcia z geografii, przygotowanie do matury.;Katowice;geografia@korepetycje.pl;
Korepetycje z informatyki;Edukacja;Programowanie, obsługa komputera, przygotowanie do egzaminów.;Białystok;informatyka@korepetycje.pl;
Usługi remontowo-budowlane;Budowlane;Kompleksowe remonty mieszkań i domów, wykończenia wnętrz.;Warszawa;budowlane@remonty.pl;
Montaż okien i drzwi;Budowlane;Profesjonalny montaż okien i drzwi.;Kraków;okna@budowlane.pl;
Malowanie mieszkań;Budowlane;Malowanie ścian, sufitów, tapetowanie.;Poznań;malowanie@budowlane.pl;
Układanie paneli podłogowych;Budowlane;Montaż paneli, podłóg drewnianych.;Wrocław;podlogi@budowlane.pl;
Instalacje elektryczne;Budowlane;Wykonywanie instalacji elektrycznych w domach i mieszkaniach.;Gdańsk;elektryka@budowlane.pl;
Instalacje hydrauliczne;Budowlane;Naprawa i montaż instalacji wodno-kanalizacyjnych.;Szczecin;hydraulika@budowlane.pl;
Tynkowanie ścian;Budowlane;Tynkowanie, gładzie gipsowe.;Łódź;tynkowanie@budowlane.pl;
Montaż płyt gipsowych;Budowlane;Zabudowy z płyt g-k, sufity podwieszane.;Lublin;gips@budowlane.pl;
Wyburzenia i rozbiórki;Budowlane;Wyburzanie ścian, rozbiórki budynków.;Katowice;wyburzenia@budowlane.pl;
Usługi ogrodnicze;Ogrodnicze;Projektowanie i pielęgnacja ogrodów.;Białystok;ogrody@uslugi.pl;
Koszenie trawy;Ogrodnicze;Koszenie trawników, pielęgnacja zieleni.;Warszawa;trawa@ogrodnicze.pl;
Przycinanie drzew;Ogrodnicze;Przycinanie, wycinka drzew.;Kraków;drzewa@ogrodnicze.pl;
Projektowanie ogrodów;Ogrodnicze;Tworzenie projektów ogrodów.;Poznań;projekt@ogrodnicze.pl;
Sprzątanie mieszkań;Porządkowe;Sprzątanie, mycie okien, pranie dywanów.;Wrocław;sprzatanie@porzadkowe.pl;
Sprzątanie biur;Porządkowe;Profesjonalne sprzątanie biur.;Gdańsk;biura@porzadkowe.pl;
Pranie dywanów;Porządkowe;Pranie, czyszczenie dywanów.;Szczecin;dywany@porzadkowe.pl;
Mycie okien;Porządkowe;Mycie okien w domach i biurach.;Łódź;okna@porzadkowe.pl;
Transport i przeprowadzki;Transport;Przeprowadzki, transport mebli.;Lublin;transport@uslugi.pl;
Transport krajowy;Transport;Transport towarów na terenie kraju.;Katowice;krajowy@transport.pl;
Transport międzynarodowy;Transport;Transport towarów za granicę.;Białystok;miedzynarodowy@transport.pl;
Taxi osobowe;Transport;Przewóz osób, taxi.;Warszawa;taxi@transport.pl;
Usługi marketingowe;Marketing;Kampanie reklamowe, social media.;Kraków;marketing@uslugi.pl;
Pozycjonowanie stron www;Marketing;SEO, SEM, optymalizacja stron.;Poznań;seo@uslugi.pl;
Reklama w internecie;Marketing;Reklama Google Ads, Facebook Ads.;Wrocław;reklama@uslugi.pl;
Copywriting;Marketing;Pisanie tekstów reklamowych.;Gdańsk;copywriting@uslugi.pl;
Fotografia ślubna;Fotografia;Fotografia ślubna, reportaż.;Szczecin;slub@fotografia.pl;
Fotografia portretowa;Fotografia;Portrety, sesje zdjęciowe.;Łódź;portret@fotografia.pl;
Fotografia produktowa;Fotografia;Zdjęcia produktów do sklepów internetowych.;Lublin;produkt@fotografia.pl;
Usługi informatyczne;Informatyczne;Naprawa komputerów, instalacja oprogramowania.;Katowice;it@uslugi.pl;
Tworzenie aplikacji mobilnych;Informatyczne;Projektowanie i wdrażanie aplikacji na Android/iOS.;Białystok;aplikacje@uslugi.pl;
Administracja serwerami;Informatyczne;Zarządzanie serwerami, hosting.;Warszawa;serwery@uslugi.pl;
Szkolenia BHP;Szkolenia;Szkolenia z zakresu BHP.;Kraków;bhp@szkolenia.pl;
Szkolenia z pierwszej pomocy;Szkolenia;Kursy pierwszej pomocy.;Poznań;pierwszapomoc@szkolenia.pl;
Szkolenia komputerowe;Szkolenia;Kursy obsługi komputera.;Wrocław;komputer@szkolenia.pl;
Szkolenia językowe;Szkolenia;Kursy językowe dla firm i osób prywatnych.;Gdańsk;jezyki@szkolenia.pl;
Usługi prawne;Prawne;Porady prawne, sporządzanie dokumentów.;Szczecin;prawnik@uslugi.pl;
Usługi księgowe;Księgowe;Prowadzenie księgowości dla firm.;Łódź;ksiegowosc@uslugi.pl;
Doradztwo podatkowe;Księgowe;Porady podatkowe, rozliczenia.;Lublin;podatki@uslugi.pl;
Usługi HR;HR;Rekrutacja, doradztwo personalne.;Katowice;hr@uslugi.pl;
Usługi cateringowe;Catering;Catering na imprezy, wesela.;Białystok;catering@uslugi.pl;
Catering dietetyczny;Catering;Diety pudełkowe, zdrowe posiłki.;Warszawa;dieta@catering.pl;
Organizacja eventów;Eventy;Organizacja imprez firmowych i prywatnych.;Kraków;eventy@uslugi.pl;
Dekoracje na imprezy;Eventy;Dekoracje sal, stołów.;Poznań;dekoracje@eventy.pl;
Usługi transportowe;Transport;Transport osób i rzeczy.;Wrocław;transport@uslugi.pl;
Usługi spawalnicze;Budowlane;Spawanie konstrukcji stalowych.;Gdańsk;spawanie@budowlane.pl;
Usługi stolarskie;Budowlane;Meble na wymiar, zabudowy.;Szczecin;stolarz@budowlane.pl;
Usługi murarskie;Budowlane;Murowanie ścian, fundamentów.;Łódź;murarz@budowlane.pl;
Usługi dekarskie;Budowlane;Pokrycia dachowe, naprawy.;Lublin;dekarz@budowlane.pl;
Usługi glazurnicze;Budowlane;Układanie glazury, terakoty.;Katowice;glazura@budowlane.pl;
Usługi tapicerskie;Tapicerskie;Naprawa i renowacja mebli.;Białystok;tapicer@uslugi.pl;
Usługi szklarskie;Szklarskie;Montaż szyb, luster.;Warszawa;szklarz@uslugi.pl;
Usługi zegarmistrzowskie;Zegarmistrzowskie;Naprawa zegarków.;Kraków;zegarmistrz@uslugi.pl;
Usługi fryzjerskie;Fryzjerskie;Strzyżenie, koloryzacja, stylizacja.;Poznań;fryzjer@uslugi.pl;
Usługi kosmetyczne;Kosmetyczne;Zabiegi kosmetyczne, manicure.;Wrocław;kosmetyczka@uslugi.pl;
Usługi masażu;Masaż;Masaż relaksacyjny, leczniczy.;Gdańsk;masaz@uslugi.pl;
Usługi weterynaryjne;Weterynaryjne;Opieka nad zwierzętami.;Szczecin;weterynarz@uslugi.pl;
Usługi stomatologiczne;Stomatologiczne;Leczenie zębów, wybielanie.;Łódź;dentysta@uslugi.pl;
Usługi psychologiczne;Psychologiczne;Konsultacje psychologiczne.;Lublin;psycholog@uslugi.pl;
Usługi dietetyczne;Dietetyczne;Porady dietetyczne, plany żywieniowe.;Katowice;dietetyk@uslugi.pl;
Usługi rehabilitacyjne;Rehabilitacyjne;Rehabilitacja, fizjoterapia.;Białystok;rehabilitacja@uslugi.pl;
Usługi transportu medycznego;Transport;Transport medyczny, przewóz chorych.;Warszawa;medyczny@transport.pl;
Usługi ochroniarskie;Ochrona;Ochrona osób i mienia.;Kraków;ochrona@uslugi.pl;
Usługi detektywistyczne;Detektywistyczne;Usługi detektywistyczne, obserwacja.;Poznań;detektyw@uslugi.pl;
Usługi sprzątania po remontach;Porządkowe;Sprzątanie po remontach, wywóz gruzu.;Wrocław;remonty@porzadkowe.pl;
Usługi cateringowe na wesela;Catering;Catering na wesela, imprezy rodzinne.;Gdańsk;wesela@catering.pl;
Usługi transportu ciężarowego;Transport;Transport ciężarowy, przewóz towarów.;Szczecin;ciezarowy@transport.pl;
Usługi przeprowadzkowe;Transport;Przeprowadzki krajowe i zagraniczne.;Łódź;przeprowadzki@transport.pl;
Usługi naprawy sprzętu AGD;AGD;Naprawa pralek, lodówek, zmywarek.;Lublin;agd@uslugi.pl;
Usługi naprawy RTV;RTV;Naprawa telewizorów, audio.;Katowice;rtv@uslugi.pl;
Usługi montażu anten;RTV;Montaż anten satelitarnych.;Białystok;anteny@uslugi.pl;
